year,country_index,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1948,Japan,-0.06985182252089486,0.020348869301482626,0.040390200203638704,-0.008121669706265766,-0.010027684587719868,-0.00844552064176647,-0.0006295510751663287,0.005255262412732814
1949,Japan,-0.06797941278027723,0.021668020212896,0.04135717919202634,-0.007864880151105402,-0.00783608705600013,-0.008859383165034889,-0.0007902320322324589,0.008085752773926787
1950,Japan,-0.06648464000858545,0.021279826593268096,0.043755958647477985,-0.007548408618681887,-0.0064254855401986305,-0.009940967478928385,0.0005890967400708002,0.004810172074348603
1951,Japan,-0.06385834045084553,0.022080383487952913,0.04298498106158972,-0.007912294059732613,-0.00745767319804091,-0.00561513851951019,-0.0012306853462498537,0.006051500524884539
1952,Japan,-0.0603676436053971,0.02096218958420756,0.049435397331799684,-0.00728920433726806,0.0008887108924921775,-0.008311768854259488,-0.002921336325773441,0.001138430646654802
1953,Japan,-0.055761678219056456,0.020195277725986213,0.046001804487514626,-0.009578644598497405,-0.004494577621818491,-0.006587783621313653,0.0008214623951877328,0.006134119622501062
1954,Japan,-0.051682765449175536,0.020828960356844506,0.0479019612759538,-0.009567710441336122,0.0008268611533439804,-0.004986347978181863,-0.004415940131562643,0.003977782038355395
1955,Japan,-0.05183761273183225,0.017917430074350538,0.05107779707894659,-0.00961662356212845,-0.0021482493014108196,-0.005819101380552995,0.003972933088753649,-0.003471048323615597
1956,Japan,-0.050162347488846605,0.01844764812038476,0.04898165068891707,-0.010479332895399866,-0.005367510854077351,9.685936664845502e-05,0.002897855220372664,0.002283024595203513
1957,Japan,-0.04542701867451406,0.019844146640501988,0.054242327362345716,-0.009574620356057379,0.006149739098155726,-5.333373101341953e-05,-0.001243802405513002,0.0021516739148597975
1958,Japan,-0.040595235932733155,0.01975111003656802,0.05555709634328981,-0.010287292361528914,0.010315457149544426,0.002727492060610506,-0.006848317008965935,0.0023106344703552675
1959,Japan,-0.04141752655923533,0.016578909232088334,0.05370246966884801,-0.01181849909996778,-0.0016919996739792015,0.004602046968527813,0.005290546822134306,-0.004929587348427237
1960,Japan,-0.033457720723563115,0.020554814745196825,0.054661596162795575,-0.011882426630191418,0.008752630892681783,0.014317359166619345,-0.003905702552649728,0.0026278672011774556
1961,Japan,-0.02397300072778557,0.016996601424356255,0.06530929760381157,-0.011836389296457151,0.02630922046970264,0.013743888241983936,-0.016340832581681074,-0.01217636910049422
1962,Japan,-0.01331899566893709,0.01239050386974455,0.06582694139385178,-0.01603441215864791,0.02702939110941294,0.018023640924550253,-0.017722045677372837,-0.009167537341359368
1963,Japan,-0.01013819365056936,0.009005032000250466,0.06887958886421673,-0.017125450385188697,0.0232894560635516,0.023030765133510357,-0.004232479881647523,-0.01406028955310447
1964,Japan,-0.0011137437057390748,0.004310957349649339,0.07096209963038608,-0.019944671259561567,0.026034048271440947,0.032009169843663886,-0.01735892899761747,-0.019518390123954194
