country,year,iso_code,population,gdp,primary_energy_consumption,cement_co2,coal_co2,consumption_co2,flaring_co2,gas_co2,land_use_change_co2,oil_co2,other_industry_co2,trade_co2,cumulative_co2_including_luc,co2_including_luc
Kazakhstan,1878,KAZ,3432151.0,,,,0.736,,0.0,0.0,24.071,0.038,,,536.089,24.845
Kazakhstan,1879,KAZ,3462367.0,,,,0.746,,0.0,0.0,24.044,0.048,,,560.928,24.838
Kazakhstan,1880,KAZ,3492849.0,,,,0.877,,0.0,0.0,24.268,0.054,,,586.127,25.199
Kazakhstan,1881,KAZ,3523598.0,,,,0.905,,0.0,0.0,24.438,0.077,,,611.546,25.419
Kazakhstan,1882,KAZ,3554618.0,,,,0.95,,0.0,0.0,24.447,0.083,,,637.027,25.481
Kazakhstan,1883,KAZ,3585910.0,,,,1.085,,0.0,0.0,24.473,0.092,,,662.677,25.65
Kazakhstan,1884,KAZ,3617477.0,,,,1.055,,0.0,0.0,24.563,0.14,,,688.434,25.757
Kazakhstan,1885,KAZ,3649322.0,,,,1.119,,0.0,0.0,24.605,0.182,,,714.34,25.907
Kazakhstan,1886,KAZ,3681446.0,,,,1.145,,0.0,0.0,24.684,0.189,,,740.358,26.018
Kazakhstan,1887,KAZ,3713853.0,,,,1.164,,0.0,0.0,24.689,0.248,,,766.459,26.101
Kazakhstan,1888,KAZ,3746544.0,,,,1.202,,0.0,0.0,24.756,0.271,,,792.688,26.229
Kazakhstan,1889,KAZ,3779523.0,,,,1.325,,0.0,0.0,24.868,0.266,,,819.146,26.458
Kazakhstan,1890,KAZ,3812791.0,,,,1.472,,0.0,0.0,24.974,0.33,,,845.922,26.775
Kazakhstan,1891,KAZ,3846352.0,,,,1.569,,0.0,0.0,25.239,0.415,,,873.144,27.222
Kazakhstan,1892,KAZ,3880208.0,,,,1.67,,0.0,0.0,25.422,0.429,,,900.666,27.522
Kazakhstan,1893,KAZ,3914361.0,,,,1.952,,0.0,0.0,25.602,0.508,,,928.728,28.062
Kazakhstan,1894,KAZ,3948814.0,,,,2.054,,0.0,0.0,25.804,0.452,,,957.038,28.31
Kazakhstan,1895,KAZ,3983570.0,,,,2.232,,0.0,0.0,25.886,0.648,,,985.804,28.766
Kazakhstan,1896,KAZ,4018631.0,,,,2.293,,0.0,0.0,26.049,0.639,,,1014.785,28.981
Kazakhstan,1897,KAZ,4054000.0,,,,2.665,,0.0,0.0,26.154,0.725,,,1044.328,29.543
Kazakhstan,1898,KAZ,4089680.0,,,,2.982,,0.0,0.0,26.185,0.82,,,1074.315,29.987
Kazakhstan,1899,KAZ,4125674.0,,,,3.552,,0.0,0.0,26.238,0.858,,,1104.963,30.648
Kazakhstan,1900,KAZ,4161983.0,,,,3.987,,0.0,0.0,26.95,1.009,,,1136.909,31.946
Kazakhstan,1901,KAZ,4198612.0,,,,3.966,,0.0,0.0,27.253,1.163,,,1169.29,32.381
Kazakhstan,1902,KAZ,4235562.0,,,,3.863,,0.0,0.0,27.473,1.091,,,1201.716,32.426
Kazakhstan,1903,KAZ,4272837.0,,,,3.882,,0.0,0.0,27.653,0.964,,,1234.215,32.498
Kazakhstan,1904,KAZ,4310440.0,,,,4.402,,0.0,0.0,27.807,0.989,,,1267.413,33.199
Kazakhstan,1905,KAZ,4348372.0,,,,4.116,,0.0,0.0,27.989,0.696,,,1300.215,32.801
Kazakhstan,1906,KAZ,4386638.0,,,,4.697,,0.0,0.0,28.183,0.792,,,1333.887,33.672
Kazakhstan,1907,KAZ,4425240.0,,,,5.321,,0.0,0.0,28.284,0.827,,,1368.319,34.432
Kazakhstan,1908,KAZ,4464181.0,,,,5.359,,0.0,0.0,28.445,0.827,,,1402.949,34.63
Kazakhstan,1909,KAZ,4503465.0,,,,5.642,,0.0,0.0,28.608,0.887,,,1438.088,35.138
Kazakhstan,1910,KAZ,4543093.0,,,,5.476,,0.0,0.0,27.485,0.928,,,1471.977,33.889
Kazakhstan,1911,KAZ,4583069.0,,,,5.777,,0.0,0.0,27.083,0.863,,,1505.699,33.722
Kazakhstan,1912,KAZ,4623396.0,,,,6.659,,0.0,0.0,26.785,0.862,,,1540.005,34.306
