year,country_index,population_lag_1,gdp_lag_1,temperature_change_from_co2_lag_1,cement_co2_lag_1,coal_co2_lag_1,flaring_co2_lag_1,gas_co2_lag_1,land_use_change_co2_lag_1,oil_co2_lag_1,co2_including_luc
1973,Argentina,24612798.0,12252.57404379624,2.437756162464747e-10,1.096583980415392e-07,1.1611845187207078e-07,1.1148671516338777e-07,5.066063598295488e-07,2.9199849606696482e-06,2.8154864798386593e-06,6.165401681942617e-06
1974,Argentina,25020592.0,12786.9851124226,2.3980247949369063e-10,1.0271539538313081e-07,1.151051901569715e-07,1.2505699305595966e-07,5.670129627628315e-07,2.4094553797927724e-06,2.8460557607909515e-06,5.836441942538379e-06
1975,Argentina,25449752.0,13386.62968629321,2.3575868244217076e-10,1.0510907925546778e-07,1.3229991396379815e-07,1.2035480738672817e-07,5.863711363474191e-07,2.0846961494948947e-06,2.807571562976331e-06,5.4777167738424385e-06
1976,Argentina,25875562.0,13049.224631024439,2.705255252040516e-10,1.0488661077197087e-07,1.3889553394048022e-07,1.507986570494585e-07,6.076003296082999e-07,1.8122891398455423e-06,2.6632465026266867e-06,5.3681481558682306e-06
1977,Argentina,26290258.0,12812.394095485864,2.662583227597082e-10,1.0806284213719014e-07,1.232015296312421e-07,2.009869967803283e-07,6.263536858405877e-07,1.5758689017049586e-06,2.7336361628706724e-06,5.193986025189996e-06
1978,Argentina,26713780.0,13369.802466292678,2.620370460488931e-10,1.1181495093543483e-07,1.0122116750231529e-07,2.0244233500463058e-07,6.328194662080769e-07,1.4241713452757342e-06,2.7215167602638037e-06,5.0355991890407635e-06
1979,Argentina,27146124.0,12578.839718848996,2.578637009099347e-10,1.1596499006635349e-07,1.4119879508396854e-07,2.3027228491257168e-07,6.05095593020941e-07,1.2576749446808686e-06,2.6854294189476185e-06,5.150931306970695e-06
1980,Argentina,27584138.0,13265.102861071824,2.5376903204298067e-10,1.2061279565814237e-07,1.3058229334554519e-07,2.392316917788042e-07,6.531289830409056e-07,1.1408005571897879e-06,2.8666112386763724e-06,4.94222832855804e-06
1981,Argentina,28024808.0,13241.016893318234,2.497786960752773e-10,1.2710167363144824e-07,1.0223085203652422e-07,2.1966252186277242e-07,6.981671382012679e-07,1.0650563600649823e-06,2.730009782761045e-06,7.040462242588005e-06
1982,Argentina,28471284.0,12285.431735358336,2.458617602212812e-10,1.1671408988790249e-07,1.0385903213918979e-07,1.8067327065403865e-07,7.194968797332779e-07,3.4590291045532052e-06,2.4606898656203915e-06,5.699558216557973e-06
1983,Argentina,28922768.0,11712.62428990199,2.420238616165645e-10,9.732816720723272e-08,9.196906741429452e-08,1.934462151063826e-07,8.038303941033582e-07,2.126214199138893e-06,2.3867701735878115e-06,5.191859358418231e-06
1984,Argentina,29377144.0,11938.07668601141,2.3828048090719777e-10,9.592491359949762e-08,7.458179052395291e-08,1.768721969705428e-07,8.940283643638061e-07,1.6128184550547187e-06,2.3376676779744145e-06,4.873760567440551e-06
1985,Argentina,29832200.0,11995.238467964145,2.346457854264855e-10,8.775752374950556e-08,7.196921447295204e-08,2.396403885734207e-07,9.151520839897827e-07,1.3054015459805175e-06,2.2538398106743718e-06,4.444529555797976e-06
1986,Argentina,30287120.0,11033.450493278991,2.31121347952529e-10,7.676530485566142e-08,9.159008846004506e-08,2.0431127159003562e-07,9.51196416166344e-07,1.1252307911745983e-06,1.99540266621587e-06,4.2015287203221295e-06
1987,Argentina,30748332.0,11663.549242801202,2.276546252980487e-10,9.070410713660826e-08,1.1034744909089703e-07,1.56236117133118e-07,1.007013973961254e-06,8.143531167804484e-07,2.0228739562198043e-06,4.116547525423294e-06
1988,Argentina,31216450.0,11785.24817831624,2.2424074486368565e-10,1.0151698863900284e-07,1.2102593344214348e-07,1.5306032556552714e-07,1.175630156536057e-06,4.3653266146534923e-07,2.128813494167338e-06,4.474864779325476e-06
1989,Argentina,31690790.0,11388.834734634258,2.2088436419540188e-10,9.614780824334137e-08,1.2694539959401454e-07,1.8522731683242986e-07,1.332658479009201e-06,6.43941031447938e-07,2.089944744198551e-06,4.398122600516014e-06
1990,Argentina,32165770.0,10524.256104548407,2.1762264668310442e-10,7.004340328243347e-08,1.2883260683639784e-07,1.9467900193279998e-07,1.3868469494123722e-06,7.600937269650316e-07,1.8576580010365057e-06,4.265042546864116e-06
1991,Argentina,32637658.0,10379.150376537435,2.1447617350485136e-10,5.582508401797703e-08,9.406312180855624e-08,1.4660978431724483e-07,1.324022697952163e-06,8.310032539712255e-07,1.8134879653435919e-06,5.72462210963492e-06
1992,Argentina,33105766.0,11359.287730602578,2.416497476602716e-10,6.633285573274457e-08,8.12245214323088e-08,1.2396632054971934e-07,1.4282708335460355e-06,2.1752102035639353e-06,1.8496173748101764e-06,4.964955011099764e-06
1993,Argentina,33568280.0,12412.903530118314,2.3832022373502607e-10,7.432611977736125e-08,8.350144839115975e-08,1.1907074178361238e-07,1.4389477208841203e-06,1.3534801306471465e-06,1.8956288496163641e-06,4.513325206511019e-06
1994,Argentina,34027240.0,13071.299614309006,2.351057564468937e-10,8.11408741937342e-08,6.762229319803781e-08,1.3968220754901073e-07,1.1993038518551606e-06,1.0520688718802935e-06,1.9735364960543377e-06,4.4780469519636235e-06
1995,Argentina,34488696.0,13712.514635867938,2.3196006018899643e-10,8.843477294705488e-08,1.0325122179162702e-07,5.7352124881729365e-08,1.237419936085725e-06,1.043037405647346e-06,1.948551490610141e-06,4.693912193274926e-06
1996,Argentina,34946116.0,13208.936116391304,2.289238666751979e-10,7.500118181946171e-08,1.0590590382061343e-07,8.261290038641204e-08,1.522200635973394e-06,1.1101090604747033e-06,1.7980825108003418e-06,4.831706479009511e-06
1997,Argentina,35389360.0,13829.197928416903,2.260566452741728e-10,6.843864935675582e-08,8.759695004374196e-08,6.078098049809321e-08,1.6259689352958064e-06,1.126214206755929e-06,1.8627350141398434e-06,5.0443701535583234e-06
1998,Argentina,35815968.0,14840.486390427866,2.2336405929332974e-10,8.848008798757024e-08,7.753524908219709e-08,6.159263935013567e-08,1.7172228878471189e-06,1.2325507996880053e-06,1.8669884896032964e-06,5.253414575959571e-06
1999,Argentina,36233196.0,15305.498839462023,2.2079200520980817e-10,9.060751913797503e-08,7.838116184948189e-08,4.672510810252565e-08,1.70048482612464e-06,1.4170154904358976e-06,1.9202280693097014e-06,5.331864496230489e-06
2000,Argentina,36653032.0,14685.568089428454,2.1826298026313349e-10,8.976065063321365e-08,5.8767307435848686e-08,5.1373648979435044e-08,1.8448951235466686e-06,1.3029208606807753e-06,1.9841469049545478e-06,5.122472226906955e-06
2001,Argentina,37070772.0,14471.804709111533,2.1580343673447102e-10,7.47489153989024e-08,4.46713114040355e-08,3.9545979781591816e-08,1.873119879996025e-06,1.2713250212323607e-06,1.81906111909404e-06,4.795828187100639e-06
2002,Argentina,37480492.0,13736.93988691504,2.1344436994050133e-10,6.619443522779796e-08,3.441790465290584e-08,4.020758318754193e-08,1.7291395214342437e-06,1.2093758000828806e-06,1.7165196230615115e-06,5.9891211894177495e-06
2003,Argentina,37885024.0,12156.74385234651,2.375608894955431e-10,4.563808643753268e-08,2.900882417284466e-08,3.9857438126474465e-08,1.6528958778012123e-06,2.704050022510214e-06,1.5176709403694717e-06,9.391464021106133e-06
1929,Australia,6137556.0,8925.663486899346,4.887939108009768e-10,6.158803276092308e-08,4.221224213677236e-06,0.0,0.0,1.2833121196776045e-05,4.451283214360896e-07,1.7310732413747576e-05
1930,Australia,6240926.0,8597.449083677646,4.806978964339587e-10,5.704281704349643e-08,3.7327793984418337e-06,0.0,0.0,1.2999513213263545e-05,5.213969849987005e-07,1.2903987843552214e-05
1931,Australia,6332771.0,7665.424086864976,4.737262724327154e-10,5.511015635967256e-08,3.4234618621137572e-06,0.0,0.0,8.814308933640582e-06,6.112648001956806e-07,1.0271714688661163e-05
1932,Australia,6412756.0,7063.637128248759,4.678175810837026e-10,3.0564081964135237e-08,3.017423397989882e-06,0.0,0.0,6.755129931654971e-06,4.687532162458699e-07,9.021469040933465e-06
1933,Australia,6480541.0,7385.5295327967215,4.629243144978174e-10,1.913420499924312e-08,3.119801263505624e-06,0.0,0.0,5.464512916437069e-06,4.180206559915291e-07,8.261452044868122e-06
1934,Australia,6535776.0,7830.448553928409,4.590120591648184e-10,2.448064315545698e-08,3.2773461024368036e-06,0.0,0.0,4.469859432147001e-06,4.899188711485828e-07,7.5690121840600004e-06
1935,Australia,6591481.0,8176.768043479151,4.5513292081096796e-10,3.140417153595679e-08,3.411979796346223e-06,0.0,0.0,3.592819276881781e-06,5.328089392960398e-07,7.2658627950699065e-06
1936,Australia,6647662.0,8584.546513947309,4.512864823753073e-10,4.1518356378528273e-08,3.7535001027428893e-06,0.0,0.0,2.909744809528523e-06,5.610995264199654e-07,7.050080090138882e-06
1937,Australia,6704321.0,8895.17939012765,4.4747260759143245e-10,4.81778840840109e-08,3.986235145960344e-06,0.0,0.0,2.349529504926748e-06,6.659883976319153e-07,6.857539559116126e-06
1938,Australia,6761463.0,9266.740185666918,4.4369095859875297e-10,5.3686605990449104e-08,4.213733033812357e-06,0.0,0.0,1.865128892962958e-06,7.248431293641627e-07,6.441473439572306e-06
1939,Australia,6819092.0,9498.820208907578,4.3994127077329357e-10,2.6103182065882084e-08,4.085147993310546e-06,0.0,0.0,1.4999064391564154e-06,8.301691779492049e-07,6.594973940234509e-06
1940,Australia,6887821.0,9430.526290389951,4.3555138845797533e-10,4.9072123099598555e-08,4.617425452839148e-06,0.0,0.0,1.0803126271719314e-06,8.481637371238305e-07,6.282940265066342e-06
1941,Australia,6967916.0,9932.492972647777,4.305447999086097e-10,5.008671172270159e-08,4.117299921526034e-06,0.0,0.0,1.2102614325431018e-06,9.052921992745033e-07,6.863939958479516e-06
1942,Australia,7059648.0,10898.704452119993,4.2495036579727487e-10,4.8444341700889337e-08,4.844859120454731e-06,0.0,0.0,1.2922740623895128e-06,6.785040840563156e-07,7.16807200263901e-06
1943,Australia,7163293.0,11979.211514034117,4.188017996750936e-10,3.9088167969675406e-08,5.0566129292770795e-06,0.0,0.0,1.301077590990624e-06,7.712933144016306e-07,6.91359713943994e-06
1944,Australia,7279134.0,12205.244204049548,4.121369382676566e-10,2.692627996682023e-08,4.7798268310488585e-06,0.0,0.0,1.254407461107324e-06,8.522991883375137e-07,6.738141264784847e-06
1945,Australia,7396847.0,11595.632104327695,4.0557821460954916e-10,2.9472016928293906e-08,4.5953363642643955e-06,0.0,0.0,1.1915887945228554e-06,9.217440890693021e-07,6.345136975958778e-06
1946,Australia,7516465.0,10839.019561456083,3.9912379023916164e-10,4.64314009311558e-08,4.30335270635864e-06,0.0,0.0,1.1352411007035887e-06,8.601117679653932e-07,6.608653346628234e-06
1947,Australia,7638016.0,10286.268936854807,3.927721544442955e-10,4.752543068775975e-08,4.589804472784556e-06,0.0,0.0,1.0128284622603565e-06,9.58364056844081e-07,6.714394345241546e-06
